,name,speech_en,speech_kr
0,user2,"Finally, hoping to take a break tomorrow!",마침내 내일 휴식을 취하기를 바라고있다!
1,user2,Drinking cruise touring dance of Michael Scott's really fun.,술 크루즈 순회 공연에서 마이클 스콧의 춤이 정말 재미 있어요.
2,user2,With old friends I am pleased to go to a new place in the old school.,옛 친구와 함께 오래된 학교에서 새로운 곳으로 가게되어 기쁘게 생각합니다.
3,user2,She will begin to use a disposable camera. I agree that I have to know what Stephanie will appear very seolrenda,그녀는 일회용 카메라를 다시 사용하기 시작할 것입니다. 나는 스테파니에게 무엇이 나타날지 모른다는 게 매우 설렌다는 데 동의합니다
4,user2,It is very excited about today and this weekend.,오늘과 이번 주말에 아주 흥분됩니다.
5,user2,s g-ma is the most wonderful,s g-ma는 가장 멋지다
6,user2,"I'm having a bad day. Shoes, a good avocado burger now required.","나쁜 하루를 보내고 있습니다. 신발, 좋은 아보카도 햄버거가 지금 필요합니다."
7,user2,"The high summer temperatures. Jamie Jonas, Sr. paper, fell in love with Chris Lilly","여름 온도가 높습니다. 제이미, 조나, 미스터 지, 크리스 릴리에 푹 빠졌어"
8,user2,"Money Christmas shopping dress warm and comfortable theme teeth cleaning, bus, $ 40, and they have not forgotten how cold I am.","돈, 치아 청소, 버스, $40의 드레스, 따뜻하고 편안한 테마의 크리스마스 쇼핑, 그것들이 내가 얼마나 추운지 잊어버리게 합니다."
9,user2,She has rediscovered love.,그녀가 사랑을 재발견하고 있다.
10,user2,Why do you have to have more than six DVD in the queue to NETFLIX? I think five is sufficient.,왜 NETFLIX에 대기열에 6개 이상의 DVD가 있어야합니까? 나는 5개가 충분하다고 생각합니다.
11,user2,True Blood is coming to take me to the Halloween spirit.,진정한 피가 할로윈 정신으로 나를 데려오고 있습니다.
12,user2,Forget your financial problems.,재정 문제를 잊어 버리십시오.
13,user2,I'm having problems in bed using!,제가 사용하는 침대에 문제가 있어요!!
14,user2,Need minute you join me in Paris?,저랑 파리에 함께 가실 분 계신가요?
15,user2,Walking the dog and that did make me happy too,강아지와 하는 산책이 너무 나를 행복하게 만들어요
16,user2,In this one personally angry it is not a contact for a few days.,개인적으로 화가나는 일이 있어서 며칠동안 연락이 되지 않습니다.
17,user2,I'm no longer rely on friends or drama.,더이상 친구나 드라마에 의존하지 않을거에요.
18,user2,To meet the mother determined to go to the north.,엄마의 판단에 맞서기 위해 북쪽으로 갑니다.
19,user2,"My Savior sandals, dresses, shirts.","나의 구세주는 샌들, 드레스, 셔츠입니다."
